State of Residence,State of Residence Code,Age of Mother,Age of Mother 13 Code,Births
Alabama,1,Under 15 years,15-,49
Alabama,1,15 years,15,137
Alabama,1,16 years,16,251
Alabama,1,17 years,17,528
Alabama,1,18 years,18,905
Alabama,1,19 years,19,1466
Alaska,2,16 years,16,15
Alaska,2,17 years,17,38
Alaska,2,18 years,18,84
Alaska,2,19 years,19,172
Arizona,4,Under 15 years,15-,23
Arizona,4,15 years,15,92
Arizona,4,16 years,16,244
Arizona,4,17 years,17,483
Arizona,4,18 years,18,910
Arizona,4,19 years,19,1681
Arkansas,5,Under 15 years,15-,19
Arkansas,5,15 years,15,70
Arkansas,5,16 years,16,164
Arkansas,5,17 years,17,324
Arkansas,5,18 years,18,629
Arkansas,5,19 years,19,1086
California,6,Under 15 years,15-,132
California,6,15 years,15,291
California,6,16 years,16,819
California,6,17 years,17,1580
California,6,18 years,18,2953
California,6,19 years,19,5521
Colorado,8,Under 15 years,15-,20
Colorado,8,15 years,15,70
Colorado,8,16 years,16,152
Colorado,8,17 years,17,309
Colorado,8,18 years,18,549
Colorado,8,19 years,19,977
Connecticut,9,15 years,15,17
Connecticut,9,16 years,16,68
Connecticut,9,17 years,17,93
Connecticut,9,18 years,18,203
Connecticut,9,19 years,19,401
Delaware,10,15 years,15,12
Delaware,10,16 years,16,33
Delaware,10,17 years,17,64
Delaware,10,18 years,18,119
Delaware,10,19 years,19,209
District of Columbia,11,15 years,15,15
District of Columbia,11,16 years,16,26
District of Columbia,11,17 years,17,54
District of Columbia,11,18 years,18,70
District of Columbia,11,19 years,19,85
Florida,12,Under 15 years,15-,105
Florida,12,15 years,15,221
Florida,12,16 years,16,569
Florida,12,17 years,17,1138
Florida,12,18 years,18,2217
Florida,12,19 years,19,3677
Georgia,13,Under 15 years,15-,78
Georgia,13,15 years,15,180
Georgia,13,16 years,16,459
Georgia,13,17 years,17,925
Georgia,13,18 years,18,1713
Georgia,13,19 years,19,2823
Hawaii,15,15 years,15,10
Hawaii,15,16 years,16,22
Hawaii,15,17 years,17,44
Hawaii,15,18 years,18,112
Hawaii,15,19 years,19,228
Idaho,16,15 years,15,13
Idaho,16,16 years,16,50
Idaho,16,17 years,17,100
Idaho,16,18 years,18,194
Idaho,16,19 years,19,410
Illinois,17,Under 15 years,15-,54
Illinois,17,15 years,15,131
Illinois,17,16 years,16,315
Illinois,17,17 years,17,661
Illinois,17,18 years,18,1145
Illinois,17,19 years,19,1976
Indiana,18,Under 15 years,15-,43
Indiana,18,15 years,15,107
Indiana,18,16 years,16,228
Indiana,18,17 years,17,497
Indiana,18,18 years,18,950
Indiana,18,19 years,19,1686
Iowa,19,Under 15 years,15-,18
Iowa,19,15 years,15,43
Iowa,19,16 years,16,98
Iowa,19,17 years,17,197
Iowa,19,18 years,18,385
Iowa,19,19 years,19,636
Kansas,20,Under 15 years,15-,22
Kansas,20,15 years,15,39
Kansas,20,16 years,16,117
Kansas,20,17 years,17,217
Kansas,20,18 years,18,385
Kansas,20,19 years,19,757
Kentucky,21,Under 15 years,15-,33
Kentucky,21,15 years,15,89
Kentucky,21,16 years,16,185
Kentucky,21,17 years,17,422
Kentucky,21,18 years,18,829
Kentucky,21,19 years,19,1450
Louisiana,22,Under 15 years,15-,56
Louisiana,22,15 years,15,117
Louisiana,22,16 years,16,253
Louisiana,22,17 years,17,470
Louisiana,22,18 years,18,877
Louisiana,22,19 years,19,1527
Maine,23,15 years,15,13
Maine,23,16 years,16,16
Maine,23,17 years,17,37
Maine,23,18 years,18,90
Maine,23,19 years,19,154
Maryland,24,Under 15 years,15-,42
Maryland,24,15 years,15,76
Maryland,24,16 years,16,167
Maryland,24,17 years,17,332
Maryland,24,18 years,18,567
Maryland,24,19 years,19,903
Massachusetts,25,Under 15 years,15-,12
Massachusetts,25,15 years,15,45
Massachusetts,25,16 years,16,82
Massachusetts,25,17 years,17,179
Massachusetts,25,18 years,18,333
Massachusetts,25,19 years,19,608
Michigan,26,Under 15 years,15-,43
Michigan,26,15 years,15,91
Michigan,26,16 years,16,218
Michigan,26,17 years,17,435
Michigan,26,18 years,18,854
